"filename" "count" "list"
"56" "OpenJPAConfiguration.java" 25 "62, 454, 758, 907, 1025, 1156, 1365, 1595, 2241, 2250, 2384, 2793, 2939, 3202, 3265, 3359, 3748, 3796, 3979, 4333, 4679, 5252, 5315, 5385, 5800"
"57" "OpenJPAConfigurationImpl.java" 34 "63, 455, 567, 780, 914, 1026, 1140, 1157, 1201, 1366, 1596, 2095, 2251, 2682, 2794, 2940, 3039, 3127, 3153, 3238, 3266, 3360, 3530, 3749, 3797, 4190, 4540, 4680, 4936, 5267, 5322, 5625, 5771, 5910"
"58" "DistributedStoreQuery.java" 50 "64, 162, 201, 348, 507, 609, 926, 1033, 1051, 1069, 1091, 1113, 1272, 1320, 1407, 1536, 1608, 1612, 2152, 2358, 2440, 2555, 2696, 2733, 2981, 3014, 3092, 3098, 3551, 3584, 3661, 3843, 3880, 3951, 3971, 4320, 4389, 4424, 4434, 4552, 4604, 5012, 5158, 5206, 5545, 5632, 5693, 5898, 5903, 5971"
"59" "TestChainEntities.java" 2 "65, 1245"
"60" "TestUseSchemaElement.java" 3 "66, 4530, 5442"
"61" "Proxies.java" 12 "67, 1373, 2435, 3062, 3335, 3461, 3668, 4227, 4484, 4775, 5213, 5952"
"62" "ProxyManagerImpl.java" 28 "68, 428, 451, 908, 1462, 1686, 2190, 2231, 2831, 2950, 3051, 3139, 3432, 3698, 3717, 4038, 4144, 4374, 4380, 4416, 4547, 4756, 4761, 5066, 5341, 5363, 5582, 5953"
"63" "TestDiscriminator.java" 1 "69"
"64" "PersistenceExceptions.java" 16 "71, 1529, 2056, 2091, 2123, 2927, 3036, 3096, 3158, 3776, 3976, 4568, 4790, 5221, 5527, 5710"
"65" "PessimisticLockManager.java" 17 "72, 2057, 2124, 2125, 2468, 2662, 3047, 3370, 3384, 3647, 4117, 4347, 4898, 5223, 5529, 5712, 5853"
"66" "TestTimeoutException.java" 7 "73, 421, 2058, 2138, 2550, 5716, 5725"
"67" "Table.java" 23 "76, 166, 502, 743, 774, 868, 1427, 1468, 1493, 1500, 1580, 1829, 2203, 2260, 3175, 3240, 3453, 3460, 3536, 3537, 3619, 4327, 5979"
"68" "AbstractTask.java" 14 "77, 123, 1478, 1486, 1757, 1907, 3341, 3651, 4063, 4308, 4558, 5278, 5564, 5988"
"69" "PersistenceProductDerivation.java" 48 "80, 127, 128, 344, 936, 979, 1060, 1062, 1256, 1261, 1262, 1349, 1731, 1870, 1912, 1914, 1945, 2098, 2546, 2903, 2971, 3065, 3116, 3159, 3239, 3279, 3654, 3715, 3789, 3812, 3821, 3855, 3866, 3868, 3921, 4311, 4355, 4561, 4588, 4747, 4748, 4891, 5071, 5277, 5477, 5580, 5676, 5784"
"70" "PersistenceUnitInfoImpl.java" 16 "81, 102, 334, 538, 708, 1063, 1515, 2436, 2753, 2972, 3655, 3716, 3813, 4312, 5440, 5581"
"71" "Localizer.java" 12 "82, 408, 1906, 2288, 2338, 2378, 3018, 3128, 3129, 3904, 4076, 4228"
"72" "AbstractNonSequentialResultList.java" 2 "83, 1754"
"73" "AbstractResultList.java" 5 "84, 1013, 1755, 2762, 4098"
"74" "LazyForwardResultList.java" 3 "85, 89, 1778"
"75" "ListResultList.java" 3 "86, 90, 1779"
"76" "ResultListTest.java" 1 "87"
"77" "TestEagerResultList.java" 1 "88"
"78" "TestLazyForwardResultList.java" 1 "89"
"79" "TestListResultList.java" 1 "90"
"80" "DistributionPolicy.java" 3 "91, 927, 1409"
"81" "ConcurrentDataCache.java" 3 "92, 2724, 5819"
"82" "StateManagerImpl.java" 80 "94, 193, 253, 368, 541, 752, 765, 863, 1009, 1012, 1084, 1110, 1126, 1131, 1138, 1162, 1341, 1432, 1440, 1730, 1743, 1865, 1905, 1955, 1970, 2325, 2387, 2432, 2512, 2795, 2911, 2941, 2951, 2990, 2994, 2995, 3167, 3189, 3288, 3303, 3380, 3427, 3500, 3502, 3528, 3617, 3625, 3680, 3863, 4123, 4183, 4337, 4367, 4471, 4510, 4520, 4571, 4620, 4781, 4817, 4857, 4876, 4895, 5067, 5072, 5116, 5180, 5232, 5324, 5343, 5388, 5411, 5642, 5700, 5743, 5805, 5843, 5866, 5964, 5968"
"83" "TestDBCS.java" 3 "95, 1212, 4626"
"84" "TestFinderCache.java" 1 "96"
"85" "AnnotationPersistenceMetaDataParser.java" 50 "97, 205, 297, 410, 534, 560, 581, 720, 783, 921, 1036, 1264, 1396, 1590, 1921, 2028, 2073, 2106, 2842, 2885, 2902, 3038, 3541, 3545, 3599, 3684, 3728, 3731, 4204, 4349, 4384, 4451, 4483, 4511, 4743, 4784, 4841, 4885, 5027, 5044, 5119, 5200, 5332, 5367, 5371, 5413, 5755, 5807, 5865, 5884"
"86" "MappingTool.java" 18 "98, 217, 871, 873, 1325, 1944, 2587, 3075, 3079, 3452, 3700, 4500, 5127, 5142, 5144, 5585, 5827, 5927"
"87" "XMLPersistenceMetaDataParser.java" 46 "99, 185, 186, 377, 419, 420, 537, 784, 1582, 1598, 1682, 1714, 1841, 1946, 2029, 2075, 2183, 2207, 2380, 2464, 2857, 3054, 3177, 3437, 3544, 3603, 3704, 3799, 4003, 4357, 4455, 4703, 4728, 4807, 4809, 5023, 5029, 5048, 5203, 5308, 5416, 5705, 5756, 5808, 5856, 5945"
