"filename" "count" "list"
"82" "DefaultSearchContext.java" 25 "85, 529, 699, 950, 1624, 4095, 4133, 5861, 5922, 5938, 6461, 7680, 8484, 8549, 9284, 9833, 10076, 10238, 10802, 10863, 11046, 11912, 12110, 12332, 12336"
"83" "PercolateContext.java" 26 "86, 531, 700, 2339, 4096, 4138, 5862, 5926, 5945, 6464, 7681, 8164, 8486, 8552, 9290, 9842, 10078, 10252, 10806, 10993, 11047, 11915, 12111, 12333, 12339, 13010"
"84" "SearchContext.java" 75 "85, 87, 109, 397, 529, 530, 533, 534, 699, 701, 703, 950, 1590, 1624, 2448, 2566, 2977, 3615, 4095, 4097, 4133, 4139, 4141, 5861, 5863, 5864, 5922, 5927, 5929, 5938, 5946, 5949, 5979, 6461, 6465, 6829, 7680, 7682, 8170, 8368, 8484, 8485, 8487, 8488, 8523, 8549, 9284, 9285, 9295, 9300, 9325, 9330, 9833, 9843, 9847, 10076, 10079, 10238, 10401, 10802, 10807, 10810, 10863, 11046, 11048, 11307, 11796, 11912, 12110, 12113, 12332, 12334, 12336, 12337, 12340"
"85" "ShardSearchRequest.java" 5 "88, 10064, 10467, 12724, 13174"
"86" "NoMasterNodeTests.java" 9 "89, 2373, 3021, 3641, 5160, 5748, 8639, 9340, 12442"
"87" "TransportPercolateAction.java" 12 "90, 579, 1084, 2535, 4010, 4757, 6932, 8336, 10065, 11095, 11480, 13027"
"88" "Bootstrap.java" 13 "91, 713, 1094, 1332, 2293, 3279, 6846, 7083, 11451, 12145, 12260, 12877, 13120"
"89" "ImmutableSettings.java" 4 "92, 851, 5583, 7087"
"90" "SearchStatsTests.java" 13 "93, 3311, 3385, 3591, 3648, 5029, 5756, 7064, 8360, 8708, 10337, 12450, 13259"
"91" "ClusterDynamicSettingsModule.java" 17 "94, 663, 2057, 4943, 6410, 7867, 7937, 8745, 9550, 9741, 10214, 11362, 11682, 12201, 12415, 12489, 12728"
"92" "NodeStats.java" 12 "95, 2647, 2667, 4400, 5417, 5718, 5886, 8804, 9744, 9959, 12745, 12824"
"93" "FileWatcherTest.java" 3 "96, 3388, 12910"
